danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,title
0.295,0.637,8,-4.043,1,0.0288,0.0496,0.0236,0.112,0.221,84.551,audio_features,7fd3aMiuwHWKsTdZafjOfZ,spotify:track:7fd3aMiuwHWKsTdZafjOfZ,https://api.spotify.com/v1/tracks/7fd3aMiuwHWKsTdZafjOfZ,https://api.spotify.com/v1/audio-analysis/7fd3aMiuwHWKsTdZafjOfZ,156146,4,,
0.497,0.638,1,-5.31,1,0.0274,0.0467,0,0.385,0.77,172.01,audio_features,3pANfZVFdtuVnJsE6xa5Ox,spotify:track:3pANfZVFdtuVnJsE6xa5Ox,https://api.spotify.com/v1/tracks/3pANfZVFdtuVnJsE6xa5Ox,https://api.spotify.com/v1/audio-analysis/3pANfZVFdtuVnJsE6xa5Ox,137142,4,,
0.727,0.919,0,-4.562,1,0.0285,0.165,0.0111,0.306,0.92,115.816,audio_features,263KsGZODTZouh3RFGNaLX,spotify:track:263KsGZODTZouh3RFGNaLX,https://api.spotify.com/v1/tracks/263KsGZODTZouh3RFGNaLX,https://api.spotify.com/v1/audio-analysis/263KsGZODTZouh3RFGNaLX,194453,4,,
0.604,0.573,2,-7.804,1,0.037,0.289,0.0406,0.133,0.581,107.862,audio_features,4vsoWZcvtvSsE0OiVvDDvX,spotify:track:4vsoWZcvtvSsE0OiVvDDvX,https://api.spotify.com/v1/tracks/4vsoWZcvtvSsE0OiVvDDvX,https://api.spotify.com/v1/audio-analysis/4vsoWZcvtvSsE0OiVvDDvX,206947,4,,
0.339,0.292,3,-11.294,1,0.0348,0.514,0,0.0713,0.0655,131.702,audio_features,7FHj19QQigvMH1onMYRNLn,spotify:track:7FHj19QQigvMH1onMYRNLn,https://api.spotify.com/v1/tracks/7FHj19QQigvMH1onMYRNLn,https://api.spotify.com/v1/audio-analysis/7FHj19QQigvMH1onMYRNLn,183792,3,,
0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45,audio_features,3pyyGVqWvRMq43qtJBzxe0,spotify:track:3pyyGVqWvRMq43qtJBzxe0,https://api.spotify.com/v1/tracks/3pyyGVqWvRMq43qtJBzxe0,https://api.spotify.com/v1/audio-analysis/3pyyGVqWvRMq43qtJBzxe0,269143,4,,
0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,audio_features,0oxYB9GoOIDrdzniNdKC44,spotify:track:0oxYB9GoOIDrdzniNdKC44,https://api.spotify.com/v1/tracks/0oxYB9GoOIDrdzniNdKC44,https://api.spotify.com/v1/audio-analysis/0oxYB9GoOIDrdzniNdKC44,285907,4,,
0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,audio_features,3Y4rUyw7XBCK6hGHCOt6rp,spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,https://api.spotify.com/v1/tracks/3Y4rUyw7XBCK6hGHCOt6rp,https://api.spotify.com/v1/audio-analysis/3Y4rUyw7XBCK6hGHCOt6rp,204773,4,,
0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,audio_features,7sIx70dGj3VBiHWr0KZXfD,spotify:track:7sIx70dGj3VBiHWr0KZXfD,https://api.spotify.com/v1/tracks/7sIx70dGj3VBiHWr0KZXfD,https://api.spotify.com/v1/audio-analysis/7sIx70dGj3VBiHWr0KZXfD,194733,4,,
0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,audio_features,2enPRFda84VE2wtI8c86Uf,spotify:track:2enPRFda84VE2wtI8c86Uf,https://api.spotify.com/v1/tracks/2enPRFda84VE2wtI8c86Uf,https://api.spotify.com/v1/audio-analysis/2enPRFda84VE2wtI8c86Uf,223747,4,,
0.553,0.465,9,-9.664,1,0.0301,0.84,0.97,0.102,0.652,79.223,audio_features,6WlmEymaXKMRs3D2c4j6os,spotify:track:6WlmEymaXKMRs3D2c4j6os,https://api.spotify.com/v1/tracks/6WlmEymaXKMRs3D2c4j6os,https://api.spotify.com/v1/audio-analysis/6WlmEymaXKMRs3D2c4j6os,141040,4,,
0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,audio_features,1KuVEZR4xuQVNr1KkanAV4,spotify:track:1KuVEZR4xuQVNr1KkanAV4,https://api.spotify.com/v1/tracks/1KuVEZR4xuQVNr1KkanAV4,https://api.spotify.com/v1/audio-analysis/1KuVEZR4xuQVNr1KkanAV4,181960,4,,
0.625,0.949,4,-4.714,0,0.0561,0.00456,0.00506,0.645,0.496,100.639,audio_features,5ExWCOYjZbMEZCIdlfH2dO,spotify:track:5ExWCOYjZbMEZCIdlfH2dO,https://api.spotify.com/v1/tracks/5ExWCOYjZbMEZCIdlfH2dO,https://api.spotify.com/v1/audio-analysis/5ExWCOYjZbMEZCIdlfH2dO,243727,4,,
0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,audio_features,3jjsRKEsF42ccXf8kWR3nu,spotify:track:3jjsRKEsF42ccXf8kWR3nu,https://api.spotify.com/v1/tracks/3jjsRKEsF42ccXf8kWR3nu,https://api.spotify.com/v1/audio-analysis/3jjsRKEsF42ccXf8kWR3nu,128199,4,,
0.424,0.342,7,-9.469,0,0.0339,0.838,0,0.136,0.124,76.235,audio_features,3XCveEutwTaDiekRkkfdp9,spotify:track:3XCveEutwTaDiekRkkfdp9,https://api.spotify.com/v1/tracks/3XCveEutwTaDiekRkkfdp9,https://api.spotify.com/v1/audio-analysis/3XCveEutwTaDiekRkkfdp9,169773,4,,
0.901,0.136,8,-16.127,0,0.102,0.667,0.354,0.109,0.643,150.076,audio_features,7EAMXbLcL0qXmciM5SwMh2,spotify:track:7EAMXbLcL0qXmciM5SwMh2,https://api.spotify.com/v1/tracks/7EAMXbLcL0qXmciM5SwMh2,https://api.spotify.com/v1/audio-analysis/7EAMXbLcL0qXmciM5SwMh2,211140,4,,
0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,audio_features,5WbfFTuIldjL9x7W6y5l7R,spotify:track:5WbfFTuIldjL9x7W6y5l7R,https://api.spotify.com/v1/tracks/5WbfFTuIldjL9x7W6y5l7R,https://api.spotify.com/v1/audio-analysis/5WbfFTuIldjL9x7W6y5l7R,202653,4,,
0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,0.305,0.822,133.417,audio_features,6RiiSy9GzSwiyDEJDiMuKe,spotify:track:6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/tracks/6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/audio-analysis/6RiiSy9GzSwiyDEJDiMuKe,153313,4,,
0.354,0.394,2,-11.567,1,0.0534,0.135,0.0432,0.131,0.17,160.555,audio_features,7Bj4wIqRzM6vx278EFYoBh,spotify:track:7Bj4wIqRzM6vx278EFYoBh,https://api.spotify.com/v1/tracks/7Bj4wIqRzM6vx278EFYoBh,https://api.spotify.com/v1/audio-analysis/7Bj4wIqRzM6vx278EFYoBh,248267,3,,
0.643,0.891,9,-4.404,1,0.0322,0.642,0.085,0.119,0.886,95.813,audio_features,7ijyGfG4NxMBobHgvu4lIM,spotify:track:7ijyGfG4NxMBobHgvu4lIM,https://api.spotify.com/v1/tracks/7ijyGfG4NxMBobHgvu4lIM,https://api.spotify.com/v1/audio-analysis/7ijyGfG4NxMBobHgvu4lIM,213760,4,,
0.605,0.942,7,-4.549,1,0.0655,0.016,0,0.137,0.8,106.562,audio_features,21LkHnuxPxVrOZ5gCaG7aM,spotify:track:21LkHnuxPxVrOZ5gCaG7aM,https://api.spotify.com/v1/tracks/21LkHnuxPxVrOZ5gCaG7aM,https://api.spotify.com/v1/audio-analysis/21LkHnuxPxVrOZ5gCaG7aM,209347,4,,
0.716,0.515,1,-9.073,1,0.0261,0.00116,0.000249,0.326,0.315,117.039,audio_features,3cxZT78mZDyLsLPJKcTu3U,spotify:track:3cxZT78mZDyLsLPJKcTu3U,https://api.spotify.com/v1/tracks/3cxZT78mZDyLsLPJKcTu3U,https://api.spotify.com/v1/audio-analysis/3cxZT78mZDyLsLPJKcTu3U,153320,4,,
0.612,0.514,7,-7.659,0,0.0243,0.349,0.00104,0.109,0.241,75.742,audio_features,6Sb49DdwbBrVEEtG8OGpGT,spotify:track:6Sb49DdwbBrVEEtG8OGpGT,https://api.spotify.com/v1/tracks/6Sb49DdwbBrVEEtG8OGpGT,https://api.spotify.com/v1/audio-analysis/6Sb49DdwbBrVEEtG8OGpGT,246778,4,,
0.405,0.479,5,-9.396,1,0.0301,0.0527,0.795,0.0974,0.131,75.37,audio_features,0SpkyS1Q4MD8GaVcP5YjT4,spotify:track:0SpkyS1Q4MD8GaVcP5YjT4,https://api.spotify.com/v1/tracks/0SpkyS1Q4MD8GaVcP5YjT4,https://api.spotify.com/v1/audio-analysis/0SpkyS1Q4MD8GaVcP5YjT4,215150,4,,
0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,audio_features,6HJxxqHWMdidwTVZmZWeHU,spotify:track:6HJxxqHWMdidwTVZmZWeHU,https://api.spotify.com/v1/tracks/6HJxxqHWMdidwTVZmZWeHU,https://api.spotify.com/v1/audio-analysis/6HJxxqHWMdidwTVZmZWeHU,167987,4,,
0.421,0.394,11,-8.312,1,0.0277,0.863,4.74E-06,0.0984,0.399,96.192,audio_features,0EF1EE8zusg3Y869e56JFd,spotify:track:0EF1EE8zusg3Y869e56JFd,https://api.spotify.com/v1/tracks/0EF1EE8zusg3Y869e56JFd,https://api.spotify.com/v1/audio-analysis/0EF1EE8zusg3Y869e56JFd,211000,3,,
0.362,0.518,1,-7.687,1,0.306,0.223,0.00314,0.316,0.348,89.667,audio_features,1IgePMOW0qEe1AViWgkal9,spotify:track:1IgePMOW0qEe1AViWgkal9,https://api.spotify.com/v1/tracks/1IgePMOW0qEe1AViWgkal9,https://api.spotify.com/v1/audio-analysis/1IgePMOW0qEe1AViWgkal9,245947,4,,
0.659,0.678,0,-8.18,1,0.0313,0.157,6.69E-06,0.0784,0.647,106.186,audio_features,2DnJjbjNTV9Nd5NOa1KGba,spotify:track:2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/tracks/2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/audio-analysis/2DnJjbjNTV9Nd5NOa1KGba,258411,4,,
0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,audio_features,1LzNfuep1bnAUR9skqdHCK,spotify:track:1LzNfuep1bnAUR9skqdHCK,https://api.spotify.com/v1/tracks/1LzNfuep1bnAUR9skqdHCK,https://api.spotify.com/v1/audio-analysis/1LzNfuep1bnAUR9skqdHCK,295600,3,,
0.215,0.203,5,-12.65,1,0.0346,0.968,0.0585,0.0923,0.143,78.287,audio_features,3RIgHHpnFKj5Rni1shokDj,spotify:track:3RIgHHpnFKj5Rni1shokDj,https://api.spotify.com/v1/tracks/3RIgHHpnFKj5Rni1shokDj,https://api.spotify.com/v1/audio-analysis/3RIgHHpnFKj5Rni1shokDj,248934,1,,
0.415,0.748,4,-5.008,1,0.0481,0.00305,0,0.0903,0.154,120.056,audio_features,4ltqfN12ohaVZdM6C45gMg,spotify:track:4ltqfN12ohaVZdM6C45gMg,https://api.spotify.com/v1/tracks/4ltqfN12ohaVZdM6C45gMg,https://api.spotify.com/v1/audio-analysis/4ltqfN12ohaVZdM6C45gMg,258419,4,,
0.723,0.49,9,-14.745,0,0.0296,0.111,0.0946,0.0923,0.795,129.012,audio_features,05oETzWbd4SI33qK2gbJfR,spotify:track:05oETzWbd4SI33qK2gbJfR,https://api.spotify.com/v1/tracks/05oETzWbd4SI33qK2gbJfR,https://api.spotify.com/v1/audio-analysis/05oETzWbd4SI33qK2gbJfR,252773,4,,
0.709,0.446,0,-9.904,1,0.037,0.716,2.39E-05,0.11,0.843,140.993,audio_features,0IVkP59yJ9GFF6B7IrvrxA,spotify:track:0IVkP59yJ9GFF6B7IrvrxA,https://api.spotify.com/v1/tracks/0IVkP59yJ9GFF6B7IrvrxA,https://api.spotify.com/v1/audio-analysis/0IVkP59yJ9GFF6B7IrvrxA,219267,3,,
0.565,0.564,2,-10.044,1,0.0292,0.161,0,0.114,0.454,134.355,audio_features,0jWgAnTrNZmOGmqgvHhZEm,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/tracks/0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/audio-analysis/0jWgAnTrNZmOGmqgvHhZEm,295533,4,,
0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,audio_features,4c6vZqYHFur11FbWATIJ9P,spotify:track:4c6vZqYHFur11FbWATIJ9P,https://api.spotify.com/v1/tracks/4c6vZqYHFur11FbWATIJ9P,https://api.spotify.com/v1/audio-analysis/4c6vZqYHFur11FbWATIJ9P,162187,4,,
0.638,0.906,2,-4.824,1,0.0504,0.0662,6.88E-05,0.142,0.767,107.991,audio_features,5lWRaa0fBxDE5yU91npPq7,spotify:track:5lWRaa0fBxDE5yU91npPq7,https://api.spotify.com/v1/tracks/5lWRaa0fBxDE5yU91npPq7,https://api.spotify.com/v1/audio-analysis/5lWRaa0fBxDE5yU91npPq7,209200,4,,
0.664,0.456,10,-13.285,1,0.029,0.342,0.596,0.109,0.813,114.094,audio_features,1ug16caw7uUhOOBeMAdDav,spotify:track:1ug16caw7uUhOOBeMAdDav,https://api.spotify.com/v1/tracks/1ug16caw7uUhOOBeMAdDav,https://api.spotify.com/v1/audio-analysis/1ug16caw7uUhOOBeMAdDav,238040,4,,
0.539,0.821,7,-9.121,1,0.0686,0.00821,6.29E-06,0.149,0.509,129.341,audio_features,0xilxE1XZcQ9wmuQKGSbSn,spotify:track:0xilxE1XZcQ9wmuQKGSbSn,https://api.spotify.com/v1/tracks/0xilxE1XZcQ9wmuQKGSbSn,https://api.spotify.com/v1/audio-analysis/0xilxE1XZcQ9wmuQKGSbSn,219107,4,,
0.548,0.619,6,-12.191,1,0.0294,0.000639,1.81E-06,0.116,0.84,129.011,audio_features,6dIhp2VXmsuoLvqaHzIsQd,spotify:track:6dIhp2VXmsuoLvqaHzIsQd,https://api.spotify.com/v1/tracks/6dIhp2VXmsuoLvqaHzIsQd,https://api.spotify.com/v1/audio-analysis/6dIhp2VXmsuoLvqaHzIsQd,199307,4,,
0.678,0.345,11,-13.052,1,0.0304,0.595,0.00497,0.0841,0.582,118.301,audio_features,1cPLddXCqw6uzyWy6tdtlK,spotify:track:1cPLddXCqw6uzyWy6tdtlK,https://api.spotify.com/v1/tracks/1cPLddXCqw6uzyWy6tdtlK,https://api.spotify.com/v1/audio-analysis/1cPLddXCqw6uzyWy6tdtlK,187507,4,,
0.609,0.759,6,-4.862,1,0.0276,0.028,0,0.183,0.774,114.045,audio_features,1xaTREM89RbIxkcjlpf4Uw,spotify:track:1xaTREM89RbIxkcjlpf4Uw,https://api.spotify.com/v1/tracks/1xaTREM89RbIxkcjlpf4Uw,https://api.spotify.com/v1/audio-analysis/1xaTREM89RbIxkcjlpf4Uw,215760,4,,
0.536,0.854,7,-6.907,1,0.0298,0.0129,0.743,0.156,0.905,122.733,audio_features,0SMkzFGJOBFDI9KfYD55L0,spotify:track:0SMkzFGJOBFDI9KfYD55L0,https://api.spotify.com/v1/tracks/0SMkzFGJOBFDI9KfYD55L0,https://api.spotify.com/v1/audio-analysis/0SMkzFGJOBFDI9KfYD55L0,162160,4,,
0.531,0.252,9,-12.765,1,0.028,0.763,0.000133,0.104,0.159,76.054,audio_features,6OG05bPAwUuV3OMvy2Vy1P,spotify:track:6OG05bPAwUuV3OMvy2Vy1P,https://api.spotify.com/v1/tracks/6OG05bPAwUuV3OMvy2Vy1P,https://api.spotify.com/v1/audio-analysis/6OG05bPAwUuV3OMvy2Vy1P,247150,4,,
0.549,0.26,9,-10.893,1,0.0329,0.485,0,0.226,0.168,99.911,audio_features,04P1ylRDzyxBIl9W0UNWXC,spotify:track:04P1ylRDzyxBIl9W0UNWXC,https://api.spotify.com/v1/tracks/04P1ylRDzyxBIl9W0UNWXC,https://api.spotify.com/v1/audio-analysis/04P1ylRDzyxBIl9W0UNWXC,567907,4,,
0.669,0.663,10,-6.377,0,0.0276,0.129,0.0671,0.0694,0.584,109.995,audio_features,3ISKxnCGKc5B9zr9CTUB3v,spotify:track:3ISKxnCGKc5B9zr9CTUB3v,https://api.spotify.com/v1/tracks/3ISKxnCGKc5B9zr9CTUB3v,https://api.spotify.com/v1/audio-analysis/3ISKxnCGKc5B9zr9CTUB3v,279413,4,,
0.189,0.317,10,-8.631,1,0.028,0.812,0.0719,0.214,0.251,84.809,audio_features,1aWMKK349BWlQYuwJWUlc8,spotify:track:1aWMKK349BWlQYuwJWUlc8,https://api.spotify.com/v1/tracks/1aWMKK349BWlQYuwJWUlc8,https://api.spotify.com/v1/audio-analysis/1aWMKK349BWlQYuwJWUlc8,158654,4,,
0.458,0.535,5,-4.854,0,0.0281,0.575,0,0.168,0.216,82.826,audio_features,1i9lZvlaDdWDPyXEE95aiq,spotify:track:1i9lZvlaDdWDPyXEE95aiq,https://api.spotify.com/v1/tracks/1i9lZvlaDdWDPyXEE95aiq,https://api.spotify.com/v1/audio-analysis/1i9lZvlaDdWDPyXEE95aiq,353755,4,,
0.492,0.921,2,-3.939,1,0.032,0.082,0.0114,0.301,0.679,138.008,audio_features,5xA5MggKc3aQxuOzNzPUWB,spotify:track:5xA5MggKc3aQxuOzNzPUWB,https://api.spotify.com/v1/tracks/5xA5MggKc3aQxuOzNzPUWB,https://api.spotify.com/v1/audio-analysis/5xA5MggKc3aQxuOzNzPUWB,178918,4,,
0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,audio_features,3ZffCQKLFLUvYM59XKLbVm,spotify:track:3ZffCQKLFLUvYM59XKLbVm,https://api.spotify.com/v1/tracks/3ZffCQKLFLUvYM59XKLbVm,https://api.spotify.com/v1/audio-analysis/3ZffCQKLFLUvYM59XKLbVm,285653,4,,
0.559,0.543,1,-5.429,1,0.302,0.00133,2.00E-05,0.0577,0.337,75.958,audio_features,1nLnpLXvl68RZCSjfkyiaa,spotify:track:1nLnpLXvl68RZCSjfkyiaa,https://api.spotify.com/v1/tracks/1nLnpLXvl68RZCSjfkyiaa,https://api.spotify.com/v1/audio-analysis/1nLnpLXvl68RZCSjfkyiaa,193000,4,,
0.476,0.869,4,-3.295,1,0.0301,0.0019,0,0.192,0.813,136.083,audio_features,6PvxbkegGnVGxd1NDYS6fZ,spotify:track:6PvxbkegGnVGxd1NDYS6fZ,https://api.spotify.com/v1/tracks/6PvxbkegGnVGxd1NDYS6fZ,https://api.spotify.com/v1/audio-analysis/6PvxbkegGnVGxd1NDYS6fZ,165683,4,,